Threshold,Accuracy,Precision,Recall,F1 Score,TN,FP,FN,TP
0.2,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,68,4,1,41
0.3,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,71,1,1,41
0.4,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,71,1,2,40
0.5,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,71,1,3,39
0.6,0.9649122807017544,1.0,0.9047619047619048,0.95,72,0,4,38
0.7,0.9649122807017544,1.0,0.9047619047619048,0.95,72,0,4,38
0.8,0.9473684210526315,1.0,0.8571428571428571,0.9230769230769231,72,0,6,36
